词条	拼音	分类	释义	例句
发痧	faeq55so34	疾病医疗	中暑	
瘫	the44	疾病医疗	瘫痪	~辣床浪（瘫痪在床）
出痧子		疾病医疗	出麻疹	
伐疟子		疾病医疗	发疟疾	
痨病	lau22bin44	疾病医疗	肺结核	
鼓胀病		疾病医疗	血吸虫病	
瘪罗痧		疾病医疗	霍乱	
出水痘		疾病医疗		
出天花		疾病医疗		
种牛痘		疾病医疗		
伤寒症		疾病医疗		
黄疸病		疾病医疗	甲型肝炎	
盲肠炎		疾病医疗	阑尾炎	
小肠气		疾病医疗	疝气	
疰车	tsyu55tsho21	疾病医疗	晕车	
疰船	tsyu55zoe21	疾病医疗	晕船	
羊牵风		疾病医疗	癫痫病	
粗头颈		疾病医疗	大脖子（甲状腺肿）	
栗子筋		疾病医疗	淋巴结核	
㽹	fe523	疾病医疗	恶心	心里有点~。（胃不舒服。）
中	tson523	疾病医疗	对中风的简称	俚笃爷昨日夜头～哉。（他爸爸昨天晚上中风了。）
老熟	lau22zoq44	疾病医疗	人进入高龄后生理机能自然退化，以至可能无疾而终	
掼伤	gue22saon44	疾病医疗	摔伤	
跌伤	tiq55saon34	疾病医疗	摔伤	
碰伤	ban22saon44	疾病医疗		
青胖块		疾病医疗	皮下出血	
鬼的青胖块		疾病医疗	皮下出血	
虚	he44	疾病医疗	肿◇字也可以作“㾂”	
滚脓	kun52non223	疾病医疗	化脓	
盖头	ke55deu21	疾病医疗	痂	~长好则，褪脱哉。（痂长好了，脱落了。）
疤	pa44	疾病医疗		
疻水	tsy55syu21	疾病医疗	因发炎分泌出的淋巴液	
癞痢头		疾病医疗	癞子	
眯妻眼		疾病医疗	近视眼	
斗鸡眼		疾病医疗	对眼	
抓爸眼		疾病医疗	一种眼病，看不清	
酒糟鼻头		疾病医疗	酒糟鼻子	
蛀牙子		疾病医疗	虫牙	
兴活	shin55weq21	疾病医疗	淋巴结肿大	
瘰瘰头		疾病医疗	小疮疖	
热疖头		疾病医疗	夏天因太阳晒而长的疖子	
冻瘃	ton55tsoq21	疾病医疗	冻疮	
杨梅疮		疾病医疗	梅毒	
猪狗臭		疾病医疗	狐臭	
乳鹅	zyu22ngou44	疾病医疗	腮腺炎	
生疮	san44tshaon44	疾病医疗	长疮（动宾）	
生疔	san44tin44	疾病医疗		
痔疮	zyu22tshaon44	疾病医疗		
痔	zyu231	疾病医疗		
癞疥疮		疾病医疗	疥疮	
癣	sie51	疾病医疗		
痱子	be22tsy44	疾病医疗		
树头肉		疾病医疗	瘊子	
雀子斑		疾病医疗	雀斑	
酸胖气		疾病医疗	人出汗后多时没擦洗而发出的味道	
帐	tsan523	疾病医疗	扎在肉里的刺	
开爪	khe55tsau21	疾病医疗	指甲因太长深入肉里而发炎	
老人头气		疾病医疗	男子身上特有的气味，常粘在所用的衣服、毛巾上	
□	khen523	疾病医疗	①人身上的污垢；	
□	khen524	疾病医疗	②器物上的污垢	②水~
瞎子	haeq55tsy52	疾病医疗		
聋彭	lon22ban44	疾病医疗	聋子	
哑子	o41tsy34	疾病医疗	哑巴	
驼背	dou22pe44	疾病医疗	因病而背驼者	
齁背	heu55pe21	疾病医疗	①因年老而背驼；	
齁背	heu55pe22	疾病医疗	②这样驼背的人	
跷脚	chiau55ciaq21	疾病医疗	瘸子	
直脚	zeq23cia55	疾病医疗	瘸子	
□头	han41deu34	疾病医疗	①歪脖子；	
□头	han41deu35	疾病医疗	②歪脖子的人	
抓手	tsa55seu21	疾病医疗	手有残疾者	
瘫子	the55tsy21	疾病医疗	瘫痪的人	
闸角头		疾病医疗	长得不规则的脑袋	
笡肩架		疾病医疗	斜肩膀	
长子	zan22tsy44	疾病医疗	高个子	
矮子	a41tsy34	疾病医疗	矮个子	
大块头		疾病医疗	胖子	
葛子	keq55tsy52	疾病医疗	结巴	
刁嘴	tiau55tsyu21	疾病医疗	咬字不清的人，大舌头	
痴子	tshyu55tsy21	疾病医疗	疯子	
秃头	thoq55deu34	疾病医疗	头发脱光的人	
麻子	mo22tsy44	疾病医疗	①人出天花后留下的疤痕；	
麻子	mo22tsy45	疾病医疗	②脸上有麻子的人	
豁嘴	huaeq55tsyu52	疾病医疗	兔唇	
齆鼻头		疾病医疗	囔鼻儿，鼻子不通气，发音不清	
雌鸡学咙		疾病医疗	男人像女人的嗓门	
六节头		疾病医疗	六指儿	
济脚风		疾病医疗	左撇子	
吊眼皮		疾病医疗	眼皮向上翻起	
眯栖眼		疾病医疗	近视眼	
老光眼		疾病医疗	远视眼	
红眼睛		疾病医疗	角膜炎	
斗鸡眼		疾病医疗	内斜视	
偷针眼		疾病医疗	麦粒肿	
䶕牙子		疾病医疗	上面的门牙往外伸出◇䶕，《集韵》祃韵步化切“齿出貌”	
嘴臭	tsyu52tsheu21	疾病医疗	口臭	
金肉痱子起		疾病医疗	起鸡皮疙瘩	
脚牵筋		疾病医疗	脚抽筋	
髈牵筋		疾病医疗	脚抽筋	
亲事	tshin55zy21	风俗		
媒人	me22gnin44	风俗		
相亲	sian55tshin21	风俗		
配亲	phe55tshin21	风俗	男女双方论婚事	
卖相	ma22sian44	风俗	相貌	
长相	tsan52sian21	风俗	相貌	
年纪	gnie22ci44	风俗	年龄	
订婚	tin41hun34	风俗		
担盘	te44boe223	风俗	下聘礼	
办酒水		风俗	办喜酒	
吃酒水		风俗	吃喜酒	
讨家小		风俗	娶妻子	
出嫁		风俗		
嫁囡儿		风俗	嫁女儿	
结婚	ciq55hun34	风俗		
好日<老>	hau41gniq34	风俗		
花轿	ho55jiau21	风俗		
拜堂	pa55daon21	风俗		
新官人		风俗	新郎	
新娘娘		风俗	新娘	
新房	sin55vaon21	风俗		
回门	we22men44	风俗		
续弦	zoq23ye31	风俗	从男方说，妻子死了再娶	
填房	die22vaon44	风俗	从女方说，嫁给死了妻子的男人	
有喜	yeu22shi44	风俗	怀孕	
拖身体		风俗	怀孕	
大肚皮		风俗	孕妇	
做舍姆		风俗	坐月子	
舍姆	so41m34	风俗	产妇	
小产	siau41tshe34	风俗		
养小人		风俗	生孩子	
做动	tsou55don21	风俗	开始分娩	勒海~则，快点喊老娘（产婆）吧。
发动	faeq55don52	风俗	开始分娩	勒海~则，快点喊老娘（产婆）吧。
胞	pau44	风俗	胎盘	
满月	moe22ngeq44	风俗		
头生	deu22san44	风俗	第一胎	
吃奶奶		风俗	吃奶	
奶奶头		风俗	奶头	
弯尿	ue55syu21	风俗	尿床	
生日	san55gniq21	风俗		
过生日		风俗		
做寿	tsou52zeu231	风俗	老人过生日	
死	si51	风俗	统称	
故	kou523	风俗	死的婉称	
过世	kou55syu21	风俗	婉称	
翘辫子		风俗	有贬义或戏谑义	
抬老三		风俗	戏谑义	
老掉	lau24diau21	风俗	戏谑义	
塔冷	thaeq55lan34	风俗	戏谑义	
送终	son52tson44	风俗		
丧事	saon55zy21	风俗		
棺材	kuoe55ze21	风俗		
材	ze223	风俗		
寿材	zeu22ze44	风俗		
孝堂	hau55daon21	风俗		
灵堂	lin22daon44	风俗		
孝子	shiau55tsy21	风俗		
哭丧棒		风俗		
纸扎	tsy41tsaeq34	风俗	用纸扎的人、马、房子等	
牌位	ba22we44	风俗		
座枱	zou22de44	风俗	安放灵位的桌子	
羹饭	kan55ve21	风俗	祭祀鬼神的饭菜	
戴孝	te52hau523	风俗		
利市布		风俗	去人家吊孝时，死者家属给的一块白布	
白挺带		风俗	戴孝时围在腰间的白布	
大殓	da22lie44	风俗	入殓	
落葬		风俗	下葬	
坟	ven223	风俗		
坟墩头		风俗	坟头	
碑	pe44	风俗	这里专指墓碑	
做七	tsou52tshiq43	风俗	人死后，逢七天的倍数，都做佛事，直至第七个七天	
头七	deu22tshiq44	风俗	做七中的第一个七天，比较隆重	
五七	ng22tshiq44	风俗	做七中的第五个七天，比较隆重	
断七	doe22tshiq44	风俗	做七中的最后一个七天，即第四十九天，也比较隆重	
锡箔	siq55boq55	风俗		
锡箔灰		风俗	锡箔烧成的灰，其中的锡可利用，所以可以回收	
锭	din231	风俗	烧给死者的纸元宝	
元宝	gnioe22pau44	风俗		
家堂	ka55daon21	风俗	安放神主灵位的木龛	
喜神	shi41zen34	风俗	已死祖先的画像	
上坟	zaon231ven223	风俗		
寻死路		风俗	自杀	
上吊	zaon24tiau21	风俗		
死尸	si41syu34	风俗		
骨殖甏		风俗	放尸骨的瓮	
天老爷		风俗		
佛	veq23	风俗		
菩萨	bu22saeq44	风俗		
土地庙		风俗		
关帝庙		风俗		
城隍庙		风俗		
阎六王		风俗	阎王	
祠堂	zy22daon44	风俗		
香案	shian55oe21	风俗		
上供	zaon231kon523	风俗		
蜡签	laeq23tshie31	风俗	烛台	
蜡烛	laeq23tsoq55	风俗	敬神的蜡烛	
香	shian44	风俗		
香炉	shian55lou21	风俗		
烧香	sau55shian21	风俗	（动宾）	
求签	jieu22tshie44	风俗		
签诀	tshie55ciuq21	风俗	印在签上谈吉凶的诗文	
厾罩	toq43tsau523	风俗	打卦	
罩板	tsau55pe21	风俗	打卦用的珓	
阴罩	in55tsau21	风俗	阴珓（两面都朝下）	
阳罩	yan22tsau44	风俗	阳珓（两面都朝上）	
灶家老爷		风俗	灶王爷	
送灶	son52tsau523	风俗	送灶王爷上天	
做道场		风俗		
念经	gnie22cin44	风俗		
拆字	tshaq43zy231	风俗	测字	
看风水		风俗		
算命	soe52min231	风俗		
算命先生		风俗		
师娘	sy55gnian21	风俗	巫婆	
关亡	kue55maon21	风俗	巫婆作法，使亡者通过巫婆与家人交谈	
许愿	shiu52gnioe231	风俗		
还愿	we22gnioe44	风俗		
男人	noe22gnin44	称谓		
女人	gniu22gnin44	称谓	多指已婚的	
毛毛头		称谓	出生不久的婴儿	
小毛头		称谓	出生不久的婴儿	
小人	siau41gnin34	称谓	孩子，可以用于对子女的统称	俚有三个~。（他有三个孩子。）
小囝<老>	siau41noe34	称谓	孩子，可以用于对子女的统称	
小囝儿<老>		称谓	孩子，可以用于对子女的统称	
小□	siau41shian34	称谓	孩子，可以用于对子女的统称，这说法用得不多	
男小人		称谓	男孩子	
男小囝<老>		称谓	男孩子	
小娘儿		称谓	女孩子	
女小娘		称谓	女孩子	
女小囡<老>		称谓	女孩子	
老老头		称谓	老头儿，中性	
老头子		称谓	略有贬义	
老脚鱼		称谓	骂老人的话，多指男的	
老死人		称谓	骂老人的话，多指男的	
老太	lau24tha21	称谓	老太太，中性	
老太婆		称谓	贬义	
老伯伯		称谓	对男性老人的客气称呼，相当于“大爷”	
姆娒	m22me44	称谓	对女性老人的客气称呼，相当于“大娘”	
小伙子		称谓		
城里人		称谓		
乡下人		称谓	略有贬义	
乡下曲死		称谓	骂乡下人的话	
乡下曲辫子		称谓	骂乡下人的话	
小脚娘娘		称谓	小脚女人	
女人妈妈		称谓	娘儿们，有贬义	一个~，会得做啥呢？
一家门		称谓	一家子	
自家人		称谓	自己人	
外头人		称谓	外人（与“自己人”相对）	
本地人		称谓		
外路人		称谓	外地人	
客边人<老>		称谓	外地人	
外国人		称谓		
客人	khaq22gnin44	称谓		
同年	don22gnie44	称谓	同庚	
同居住葛		称谓	住在同一个宅院内的邻居可相互称为~	
同居葛		称谓	住在同一个宅院内的邻居可相互称为~	
小朋友		称谓	青少年时期的朋友，不是指儿童	小王是伲儿子葛~。
小姊妹		称谓	青少年女子间的好朋友	
小□腊子		称谓	小人物	
孤孀	kou55saon21	称谓	寡妇	
养新妇		称谓	童养媳	
招女婿		称谓	入赘的女婿	
拖油瓶		称谓	妇女改嫁时带来的前夫的子女	
姘头	phin55deu21	称谓		
伴房小姐		称谓	很少外出、总躲在闺房里的小姐	
孛相人		称谓	旧时的一种流氓，多在上海，苏州也有	
告化子		称谓	乞丐	
拐子	kua41tsy34	称谓	拐卖孩子的骗子	
贼骨头		称谓	贼	
小贼	siau41zeq34	称谓	①小偷	
小贼	siau41zeq34	称谓	②小子，对人的轻蔑称呼，多对年轻人，有时也有亲热义	阿大搿~拨俚挡着官哉。（阿大这小资给他当上官儿了。）
三只手		称谓	扒手	
扒儿手		称谓	扒手	
强盗	jian22dau44	称谓	明火执仗的抢劫者	
江北人		称谓	苏北人，有贬义	
杀胚	saeq55phe34	称谓	改啥的人（骂人话）	
蜡烛	laeq23tsoq55	称谓	比喻不识相，不知好歹的人	
老鬼	lau22jiu44	称谓	很有经验的人，但有贬义	
愀货	chioe55hou21	称谓	坏家伙	
洋盘	yan22boe44	称谓	外行	
戆大	gaon24dou21	称谓	傻瓜	
□大	ge22dou44	称谓	傻瓜	
独头<老>	doq23deu31	称谓	傻瓜	
绸头	zeu22deu44	称谓	不知好歹的人	
猪头三		称谓	不知好歹的人，骂人意味更重	
宝货	pau52hou21	称谓	活宝	
老大	lau24dou21	称谓	有点类似“家伙”，比“家伙”稍客气些	搿个~蛮有本事葛。（这家伙挺有能耐。）
老兄	lau55shion21	称谓	有点类似“家伙”，略有诙谐义	
老二官		称谓	有点类似“家伙”，略有诙谐义	
户头	ghou22deu44	称谓	有点类似“家伙”	
败家精		称谓	摆架子	
蚌壳精		称谓	“蚌壳”与“碰哭”谐音，嘲笑一碰就要哭的人	
下作胚		称谓	下流的人	
小气胚		称谓	吝啬鬼	
书独头		称谓	书呆子	
定头货		称谓	冤家对头	
轻骨头		称谓	轻佻、不持重的人	
贱骨头		称谓	不识抬举的人	
木人头		称谓	思维迟钝的人	
老实头		称谓	老实人	
弯舌头		称谓	指说话听不懂的人，多指北方人	
三脚猫		称谓	什么都懂一点，什么都不真懂的人	
半吊子		称谓	没有信用、食言的人	
王伯伯		称谓	说话不算数、靠不住的人	
黄牛肩架		称谓	不负责任的人	
大亨	da22han44	称谓	旧时社会上有财有势又名的人	
亨头	han55deu21	称谓	旧时社会上有财有势又名的人	
大好佬		称谓	大人物	
大物事		称谓	能量大，不安分的人，多用于女性，有贬义	俚笃娘是个～。
阿曲死		称谓	土气的人	
忘事徒		称谓	记性不好的人，中性	
青肚皮猢狲		称谓	记性不好的人，贬义	
十三点		称谓	言语行为不得体的人	
温吞水		称谓	性情过分温和，好坏都没有反应的人	
死人额骨头		称谓	性情过分温和，好坏都没有反应的人，贬义更多	
煨灶猫		称谓	很没有精神的人	
倒头光		称谓	一有钱就花光的人	
□浆头		称谓	捣蛋鬼	
老百晓		称谓	什么都知道的人	俚是个~，问俚好则。（他什么都知道，问他就行。）
贼铁嘴		称谓	形容人爱狡辩，死不认错	还要~，死弗承认！
饿杀鬼		称谓	喻指狼吞虎咽的人	
讨债鬼		称谓	喻指给自己带来没完没了麻烦的人，父母常骂孩子为~	
尖屁股		称谓	坐不住的人	
拔脚花狸猫		称谓	坐不住的人	
杀千刀		称谓	常见骂人	
刮进模子		称谓	吝啬鬼	
嘴讲老大		称谓	善于耍嘴皮子的人	
射屁小伙子		称谓	不中用的小伙子	
穷爷	jion22ya44	称谓	粗鲁的自称，类似“老子”	~哀两日弗大开心。（老子这两天不太高兴。）
苏空头		称谓	苏州人自嘲的说法，跟“杭铁头”相对，意思似是苏州人较软，杭州人较硬，有戏谑义	
杭铁头		称谓	参看“苏空头”	
老板	lau22pe44	称谓		
老板娘		称谓		
东家	ton55cia21	称谓		
伙计	hou41ci34	称谓		
学生意		称谓	做学徒	
小贩	siau52fe21	称谓		
做小生意葛		称谓		
摊贩	the55fe21	称谓		
摆摊头葛		称谓		
老师	lau55sy21	称谓		
先生	sie55san21	称谓	旧时常面称老师为~	
学生子		称谓	学生	
木匠	moq23zian31	称谓		
泥水匠		称谓	泥瓦匠	
铁匠		称谓		
铜匠	don22zian44	称谓		
补镬子葛		称谓	补锅的	
洋铅匠		称谓	焊洋铁壶的	
裁缝	ze22von44	称谓		
剃头师父		称谓	理发员	
脚夫	ciaq55fu34	称谓		
轿板	jiau22fu44	称谓	轿夫	
荐头	tsie55deu21	称谓	旧时从事中介职业的人，为人介绍佣人、奶妈等	
堂倌	daon22kuoe44	称谓	旧称饭馆的服务员	
船老大		称谓	艄公	
船浪人		称谓	住在船上，以船为生的人，包括打渔的和运客、运货的	
烧饭师父		称谓	厨师	
饭师父		称谓	厨师	
吃开口饭葛		称谓	旧指演员，贬义	
奶妈	na22ma44	称谓		
佣人	yon22gnin44	称谓	仆人	
阿妈	aeq55ma34	称谓	中老年女佣	
娘姨	gnian22yi44	称谓	三十岁左右的女佣	
小大姐		称谓	近二十岁的女佣	
走做	tseu52tsou21	称谓	旧称钟点工	
倒老爷		称谓	旧指专为人家倒马桶的人	
郎中	laon22tson44	称谓	旧指中医	
走方郎中		称谓	江湖医生，行医	
白花郎中		称谓	庸医	
老娘	lau22gnian44	称谓	接生婆	
和尚	ghou22zaon44	称谓		
师姑	sy55kou21	称谓	尼姑	
道士	dau22zy44	称谓	出家的道教徒	
香火	shian55hou21	称谓	火居的和尚或道士。	俗语有：~赶出和尚。（反客为主）
亲眷	tshin55cioe21	亲属		
至亲	tsyu55tshin21	亲属	最亲近的亲戚。如舅父、姑母	
长辈	tsan52pe21	亲属		
太太	tha55tha21	亲属	①曾祖的统称；	
太太	tha55tha21	亲属	②专指曾祖母	
阿爹	aeq55tia34	亲属	祖父	
好婆	hau41bu34	亲属	祖母	
□婆	au55bu21	亲属	儿语“祖母”，首字应系幼儿说不清“好“的变音	
啊婆	a55bu21	亲属	儿语“祖母”，首字应系幼儿说不清“好“的变音	
外公阿爹		亲属	外祖父，背称	
阿爹	aeq55tia34	亲属	外祖父，面称	
外婆	nga22bu44	亲属	外祖母，背称	
好婆	hau41bu34	亲属	外祖母，面称	
爹爹	tia55tia21	亲属	父亲，面称	
爸爸<新>	pa55pa21	亲属	父亲，面称	
爷	ya223	亲属	父亲，背称	伲~（我爸）
姆妈	m55ma21	亲属	母亲	
姆娒<老>	m55me21	亲属	母亲	
娘	gnian223	亲属	母亲，背称	伲~（我妈）
丈人	zan22gnin44	亲属	岳父，背称	
丈姆	zaon22m44	亲属	岳母，背称	
丈姆娘		亲属	岳母，背称	
阿公	aeq55kon34	亲属	夫之父，背称	
公	kon44	亲属	夫之父，背称	
阿婆	aeq55bu34	亲属	夫之母，背称	
婆	bu223	亲属	夫之母，背称	
婆太太		亲属	对婆母表面尊敬实际不满的称呼，限于背称	伲个～是难服侍杀葛。（我们家那婆婆很难伺候。）
爷娘家		亲属	娘家	新妇回~去则。（儿媳妇回娘家了。）
老伯伯		亲属	①伯父；	
老伯伯		亲属	②对老年男子的尊称	
麻麻	mo22mo44	亲属	父之姐，背称	
伯伯	paq55paq55	亲属	父之兄，面称	
娘娘	gnian55gnian21	亲属	父之妹，部分面背	
娒娒	me55me21	亲属	①伯母；	
娒娒	me55me21	亲属	②姑母；	
娒娒	me55me21	亲属	③对老年妇女的尊称	
姆娒	m22me44	亲属	①伯母；	
姆娒	m22me44	亲属	②姑母；	
姆娒	m22me44	亲属	③对老年妇女的尊称	
叔叔	soq55soq55	亲属		
阿叔	a55soq55	亲属	叔叔，背称	
婶婶	sen41sen34	亲属	叔母	
婶娒<老>	sen41me34	亲属	叔母	
阿婶	aeq55sen52	亲属	叔母，背称	
娘舅	gnian22jieu44	亲属	舅父	
舅舅	jieu22jieu44	亲属	舅父	
舅姆	jieu22m44	亲属	舅母	
姑夫	kou55fu21	亲属	姑父，背称	
夫夫	fu55fu21	亲属	姑父，面称	
阿姨	a55yi21	亲属	①母之姐妹；	
阿姨	a55yi21	亲属	②对中年以上妇女的礼貌称呼，这是新起说法	
娘姨娒娒		亲属	母之姐	
姨夫	yi22fu44	亲属		
晚爷	me22ya44	亲属	继父	
晚娘	me22gnian44	亲属	继母	
寄名	ci55min21	亲属	认干亲	~拨俚笃。（认他家为干爹/干娘。）
寄爷	ci55ya21	亲属	干爹	
寄娘	ci55gnian21	亲属	干娘	
寄儿子		亲属	干儿子	
寄囡儿		亲属	干女儿	
平辈	bin22pe44	亲属		
夫妻	fu55tshi21	亲属		
男人	noe22gnin44	亲属	丈夫	
家小	ka55siau21	亲属	妻子	
家主婆		亲属	妻子，较粗俗	
屋里向		亲属	①家里；	昨日我弗辣~
屋里向		亲属	②妻子，背称，比“家小”客气；	
屋里向		亲属	③上世纪六七十年代，也有妇女称自己的丈夫为~	
屋里	oq55li412	亲属	①家里；	
屋里	oq55li412	亲属	②妻子，背称，比“家小”客气；	
屋里		亲属	③上世纪六七十年代，也有妇女称自己的丈夫为~	
大老母		亲属	大老婆	
小老母		亲属	小老婆	
哥哥	kou55kou21	亲属		
阿哥	aeq55kou34	亲属	多用于背称	
老兄	lau24shion21	亲属	只用于背称	
阿姐	aeq55tsia52	亲属		
姐姐	tsia41tsia34	亲属		
弟弟	di22di44	亲属	多用于背称，当面多叫名字	
